0,lemma,frequency
der Reiseführer,Reiseführer,132
das Kaufhaus,Kaufhaus,132
die Geige,Geige,132
die Vorwahl,Vorwahl,132
das Stadtviertel,Stadtviertel,131
die Shorts,Short,131
die Pappe,Pappe,131
die Umarmung,Umarmung,130
das Wörterbuch,Wörterbuch,129
der Zauberer,Zauberer,129
schwören,schwören,129
die Zitrone,Zitrone,129
einstürzen,einstürzen,127
der Kürbis,Kürbis,126
haupt,Haupt,124
das Trinkgeld,Trinkgeld,123
die Gabel,Gabel,122
das Einzelzimmer,Einzelzimmer,122
die Kappe,Kappe,121
zerkleinern,zerkleinern,121
fürchterlich,fürchterlich,119
das Kraut,Kraut,118
lackieren,lackieren,118
blinken,blinken,118
kauen,kauen,118
der Zimt,Zimt,118
wertlos,wertlos,117
die Pünktlichkeit,Pünktlichkeit,115
das Würstchen,Würstchen,115
das Besteck,Besteck,114
die Rentnerin,Rentnerin,114
flirten,flirten,114
wasserdicht,Wasserdicht,114
umarmen,umarmen,113
die Wissenschaftlerin,Wissenschaftlerin,112
windig,windig,111
meckern,meckern,111
die Stube,Stube,111
die Tänzerin,Tänzerin,110
der Bleistift,Bleistift,109
die Banane,Banane,109
das Genie,Genie,108
die Karotte,Karotte,108
der Motorroller,Motorroller,108
die Torte,Torte,108
irgend,irgend,108
der Regenbogen,Regenbogen,107
die Sekretärin,Sekretärin,106
das Huhn,Huhn,106
pflegeleicht,pflegeleicht,105
der Spinat,Spinat,104
doof,doof,104
die Ehe,Ehe,103
das Ladegerät,Ladegerät,103
der Geburtsort,Geburtsort,103
buddhistisch,buddhistisch,103
der Gummi,Gummi,101
das Parfüm,Parfüm,101
die Aktivistin,Aktivistin,101
das Apartment,Apartment,101
der Apparat,Apparat,101
der Wasserkocher,Wasserkocher,100
wehtun,wehtun,98
der Vetter,Vetter,97
die Mülltonne,Mülltonne,96
der Ventilator,Ventilator,95
die Enkelin,Enkelin,95
die Eule,Eule,94
ohnmächtig,ohnmächtig,94
die Seide,Seide,93
die Klammer,Klammer,93
das Müsli,Müsli,92
die Fluglinie,Fluglinie,92
gut aussehend,aussehend,92
die Architektin,Architektin,92
der Idiot,Idiot,91
der Regenschirm,Regenschirm,91
der Dom,Dom,91
der Kaugummi,Kaugummi,90
die Sportlerin,Sportlerin,90
kriechen,kriechen,89
der Turnschuh,Turnschuh,89
der Iraner,Iraner,89
der Nachtisch,Nachtisch,88
das Polyester,Polyester,88
die Gärtnerei,Gärtnerei,88
ankreuzen,ankreuzen,88
blass,Blass,88
unfreundlich,unfreundlich,87
fürsorglich,fürsorglich,87
die Premierministerin,Premierministerin,87
violett,Violett,87
die Schraube,Schraube,87
die Geschmacksrichtung,Geschmacksrichtung,86
die Vorspeise,Vorspeise,86
bürsten,bürsten,86
besprühen,besprühen,85
der Misserfolg,Misserfolg,84
das Rind,Rind,84
der Schinken,Schinken,84
die Metzgerei,Metzgerei,83
die Köchin,Köchin,83
hoffnungsvoll,Hoffnungsvoll,83
der Geschirrspüler,Geschirrspüler,82
der Sekretär,Sekretär,82
phasenweise,phasenweise,81
der Laden,Laden,81
die Saat,Saat,80
salzig,salzig,80
inserieren,inserieren,80
hinstellen,hinstellen,79
der Regen,Regen,79
der Pickel,Pickel,78
der Automat,Automat,78
die Schweizerin,Schweizerin,78
weben,weben,77
die Hausfrau,Hausfrau,76
schlapp,schlapp,74
der Trickfilm,Trickfilm,74
das Elektrogerät,Elektrogerät,74
entmutigen,entmutigen,73
das Lamm,Lamm,73
die Arbeitgeberin,Arbeitgeberin,72
der Mechatroniker,Mechatroniker,72
das Insekt,Insekt,71
beeilen,beeilen,71
die Himmelsrichtung,Himmelsrichtung,70
ledig,ledig,69
startklar,startklar,69
glitzern,glitzern,68
das Lokal,Lokal,68
drüben,drüben,68
mitkommen,mitkommen,67
die Romanze,Romanze,67
die Schildkröte,Schildkröte,67
die Mailbox,Mailbox,67
amerikanisch,Amerikanisch,67
das Brauhaus,Brauhaus,67
egoistisch,egoistisch,67
der Familienstand,Familienstand,66
jobben,jobben,66
die Wange,Wange,65
der Ratschlag,Ratschlag,65
übermorgen,übermorgen,65
das Hackfleisch,Hackfleisch,65
nächst,Nächst,65
vorgestern,vorgestern,64
das Velo,Velo,62
die Überschwemmung,Überschwemmung,62
die Schaufel,Schaufel,62
viel zu + Adjektiv,Adjektiv,61
der Pudding,Pudding,61
die Fernsehserie,Fernsehserie,61
die Sandale,Sandale,61
der Spitzname,Spitzname,61
das Adjektiv,Adjektiv,61
die Besucherin,Besucherin,60
der Amateur,Amateur,60
der Rat,Rat,60
die Birne,Birne,60
gasförmig,gasförmig,59
die Historikerin,Historikerin,59
eifersüchtig,eifersüchtig,59
niederländisch,Niederländisch,58
das Hähnchen,Hähnchen,58
die Gegnerin,Gegnerin,58
der Familienname,Familienname,56
das Geburtsjahr,Geburtsjahr,56
donnern,donnern,56
die Herberge,Herberge,56
der Lügner,Lügner,56
die Mutti,Mutti,56
abhauen,abhauen,55
kapieren,kapieren,54
der Neffe,Neffe,54
der Spion,Spion,53
bücken,bücken,53
der Handschuh,Handschuh,53
scherzen,Scherze,52
der Slip,Slip,52
der Babysitter,Babysitter,51
die Allee,Allee,51
die Vase,Vase,49
farbenfroh,Farbenfroh,48
unfallfrei,unfallfrei,48
kämmen,kämmen,47
ekelhaft,ekelhaft,47
die Kichererbse,Kichererbse,46
die Traube,Traube,45
stinkend,stinkend,45
die Ingenieurin,Ingenieurin,43
der Kittel,Kittel,42
triggern,triggern,42
der Hausmann,Hausmann,42
der Keks,Keks,42
der Plural,Plural,41
anmachen,anmachen,41
die Halskette,Halskette,41
erkalten,erkalten,40
der Fotoapparat,Fotoapparat,40
gelangweilt,gelangweilen,40
der Witwer,Witwer,39
schwedisch,Schwedisch,39
introvertiert,introvertiert,39
die Friseurin,Friseurin,39
die Speise,Speise,39
abstauben,abstauben,38
die Kellnerin,Kellnerin,38
schlampig,schlampig,38
vorspielen,vorspielen,37
unhöflich,unhöflich,37
hinduistisch,hinduistisch,37
schneien,Schneie,37
umfallen,umfallen,37
die Durchsage,Durchsage,36
die Serviette,Serviette,35
nummerieren,nummerieren,35
die Kaffeetafel,Kaffeetafel,35
der Pirat,Pirat,35
töpfern,töpfern,34
die Annonce,Annonce,34
das Jackett,Jackett,34
der Rücken,Rücken,34
die Touristin,Touristin,33
neblig,neblig,33
die Kokosnuss,Kokosnuss,33
der Gefrierschrank,Gefrierschrank,32
der Kamerad,Kamerad,31
die Teenagerin,Teenagerin,31
das Aussehen,Aussehen,31
der Kurkuma,Kurkuma,31
Erntedank,Erntedank,30
die Pilotin,Pilotin,30
die Jacht,Jacht,30
vergesslich,vergesslich,29
seidig,seidig,29
das Schätzchen,Schätzchen,29
einschenken,einschenken,28
extrovertiert,extrovertiert,28
buchstabieren,buchstabieren,26
die Wohltätigkeitsorganisation,Wohltätigkeitsorganisation,26
ohrfeigen,ohrfeigen,26
der Feststoff,Feststoff,26
die Empfängerin,Empfängerin,26
der Trottel,Trottel,25
die Hauptspeise,Hauptspeise,25
der Schnurrbart,Schnurrbart,25
die Vokabel,Vokabel,25
das Nylon,Nylon,25
das Arschloch,Arschloch,24
die Kritikerin,Kritikerin,24
die Beere,Beere,22
die Agentin,Agentin,22
anlassen,anlassen,22
der Vorort,Vorort,22
das Mittagessen,Mittagessen,21
ander,ander,20
der Milliliter,Milliliter,20
das Meldeamt,Meldeamt,19
der Napf,Napf,19
der Couchtisch,Couchtisch,18
die Priesterin,Priesterin,18
der Taxistand,Taxistand,17
der Portier,Portier,17
unehrlich,unehrlich,17
die Einwohnerin,Einwohnerin,17
der Oktopus,Oktopus,17
die Technikerin,Technikerin,16
der Zucker,Zucker,16
der Denim,Denim,16
die Nebenstraße,Nebenstraße,15
einsprechen,einsprechen,15
angewidert,anwidern,14
inkorrekt,inkorrekt,14
die Tarantel,Tarantel,13
aufsagen,aufsagen,13
der Truthahn,Truthahn,13
verspäten,verspät,13
die Demonstrantin,Demonstrantin,13
nachlaufen,nachlaufen,12
abfliegen,abfliegen,12
das Ei,Ei,12
Formalität,Formalität,11
der Schleimer,Schleimer,11
austrinken,austrinken,10
die Teekanne,Teekanne,9
das Studentenheim,Studentenheim,9
die Programmiererin,Programmiererin,9
unmodern,unmodern,8
der Kühler,Kühler,7
die Doktorin,Doktorin,7
die Ausländerin,Ausländerin,7
der Nebel,Nebel,7
anbeten,anbeten,7
necken,necken,7
die Lügnerin,Lügnerin,7
die Iranerin,Iranerin,6
die Bäckerin,Bäckerin,6
der Schnupfen,Schnupfen,6
der Ski,Ski,6
der Rufname,Rufname,6
die Ehepartnerin,Ehepartnerin,6
das Andenken,Andenken,5
der Eintritt,Eintritt,5
die Piratin,Piratin,5
der Vati,Vati,5
rausschicken,rausschicken,5
das Waschbecken,Waschbecken,4
der Lesetext,Lesetext,3
die Apfelsine,Apfelsine,3
die Haut,Haut,2
anlachen,anlachen,2
die Untermiete,Untermiet,2
die Straftäterin,Straftäterin,2
das Sandwich,Sandwich,1
die Sünde,Sünde,1
der Samt,Samt,1
die Kapuzenjacke,Kapuzenjacke,1
der Haifisch,Haifisch,1
agnostisch,agnostisch,1
schwieger-,Schwieger,1
die Teigtasche,Teigtasche,1
iranisch,Iranisch,1
die Amateurin,Amateurin,1
schmilzen,Schmilz,1
garnich,Garnich,1
das E-Book,E-Book,0
die Creme,Creme,0
die Ohrfeige,Ohrfeige,0
die WG,WG,0
das Quiz,Quiz,0
das Lotto,Lotto,0
die Suche,Suche,0
die S-Bahn,S-Bahn,0
der-die Erwachsene,erwachsene,0
unmodisch,unmodisch,0
die Millionärin,Millionärin,0
die Wärme,Wärme,0
dorther,dorther,0
die Mechatronikerin,Mechatronikerin,0
Ägypten,Ägypten,0
die Fundsache,Fundsache,0
der-die Jugendliche,jugendliche,0
die Bank  (Finanzinstitut),--,0
die Sprechstunde,Sprechstunde,0
die Rote Beete,Beete,0
der Zoll,Zoll,0
die Nichte,Nichte,0
die Unterwäsche,Unterwäsche,0
die CD,CD,0
das Übergewicht,Übergewicht,0
die Vetterin,Vetterin,0
die Unterhose,Unterhose,0
der BH,BH,0
der Deutscher,deutsche,0
stock-,Stock-,0
vor Kurzem,Kurz,0
entweder ... oder ...,--,0
der Ohrring,Ohrring,0
die Wolle,Wolle,0
der Junge,Junge,0
die Parfumerie,Parfumerie,0
die Spüle,Spüle,0
der Reifen,Reifen,0
die Klappcouch,Klappcouch,0
die Oma,Oma,0
die Bank (Sitzgelegenheit),--,0
die Fahrkarte,Fahrkarte,0
der Opa,Opa,0
die Portierin,Portierin,0
das Verbrechen,Verbrechen,0
die E-Mail,E-Mail,0
die Deutsche,deutsche,0
die Decke,Decke,0
die Ärztin,Ärztin,0
das T-Shirt,T-Shirt,0
die Großeltern,Großelter,0
die Nachbarin,Nachbarin,0
das Zelt,Zelt,0
die Bitte,Bitte,0
der-die Bekannte,bekannte,0
das Schloss,Schloss,0
der Nichtraucher,Nichtraucher,0
die Stelle,Stelle,0
das Alter,Alter,0
der Gefallen,Gefallen,0
der Zeh,Zeh,0
der Morgen,Morgen,0
das Mitnehmen,Mitnehmen,0
der Flip-Flop,Flip-Flop,0
der Dank,Dank,0
das Fax,Fax,0
die U-Bahn,U-Bahn,0
die Ferien,Ferien,0
meist-,meist-,0
lieb-,lieb-,0
das Öl,Öl,0
das Verb,Verb,0
die Vermieterin,Vermieterin,0
der Arm,Arm,0
der Po,Po,0
das Fest,Fest,0
die Sprühflasche,Sprühflasche,0
der Schal,Schal,0
der Husten,Husten,0
der Quatsch,Quatsch,0
