0,lemma,frequency
die Pause,Pause,3120
riesigen,riesig,3117
relativ,relativ,3113
deswegen,deswegen,3108
die Szene,Szene,3107
ruhig,ruhig,3102
ankommen,ankommen,3088
retten,retten,3087
die Umfrage,Umfrage,3069
gestern,gestern,3069
der Zustand,Zustand,3069
die Fahrt,Fahrt,3065
die Nummer,Nummer,3060
die Grundschule,Grundschule,3055
danken,danken,3052
inklusive,inklusive,3043
lieben,lieben,3039
decken,decken,3034
die Sekunde,Sekunde,3031
das Theater,Theater,3022
anlegen,anlegen,3021
räumen,räumen,3017
die Station,Station,3014
blicken,blicken,3010
verschwinden,verschwinden,3005
verschwunden,verschwinden,3005
die Stimme,Stimme,3002
durchschnittlich,durchschnittlich,3002
sobald,sobald,2995
senden,senden,2973
das Feuer,Feuer,2970
trennen,trennen,2969
getrennt,trennen,2969
die Adresse,Adresse,2963
stolz,stolz,2960
schneiden,schneiden,2949
der Umfang,Umfang,2948
der Einwohner,Einwohner,2938
die Homepage,Homepage,2931
die Werbung,Werbung,2923
seitdem,seitdem,2918
die Ruhe,Ruhe,2908
begründen,begründen,2906
der Gott,Gott,2904
der Flughafen,Flughafen,2903
zerstören,zerstören,2899
der Student,Student,2888
das Büro,Büro,2886
grundlegend,grundlegend,2881
der-die Leiter,Leiter,2877
blau,blau,2876
jedenfalls,jedenfalls,2873
die Sonne,Sonne,2871
das Ereignis,Ereignis,2870
die Post,Post,2864
britisch,britisch,2858
der Streit,Streit,2857
das Gesicht,Gesicht,2837
Italien,Italien,2834
austauschen,austauschen,2822
buchen,buchen,2809
messen,messen,2808
der Bus,Bus,2804
gültig,gültig,2802
schwach,schwach,2801
tot,tot,2799
rennen,rennen,2795
konzentrieren,konzentrieren,2791
die Landwirtschaft,Landwirtschaft,2786
verraten,verraten,2774
töten,töten,2773
der Soldat,Soldat,2762
ansehen,ansehen,2750
der Nachmittag,Nachmittag,2744
das Herz,Herz,2740
der Eindruck,Eindruck,2738
die Bibliothek,Bibliothek,2737
das Parlament,Parlament,2737
kalt,kalt,2735
außer,außer,2734
bewerben,bewerben,2731
wiederholen,wiederholen,2726
der Gegner,Gegner,2725
die Atmosphäre,Atmosphäre,2723
die Krankenkasse,Krankenkasse,2712
ein bisschen,Bisschen,2702
bisschen,Bisschen,2702
senken,senken,2694
üblich,üblich,2694
die Küche,Küche,2687
streng,streng,2677
der Polizist,Polizist,2674
der Schluss,Schluss,2669
super,super,2668
der Umsatz,Umsatz,2664
link,Link,2654
der Link,Link,2654
eingehen,eingehen,2653
ansonsten,ansonsten,2652
beschädigen,beschädigen,2650
die Gemeinschaft,Gemeinschaft,2649
die Sendung,Sendung,2640
die Begegnung,Begegnung,2639
ausgehen,ausgehen,2633
installieren,installieren,2631
das Zimmer,Zimmer,2620
das Niveau,Niveau,2606
warm,warm,2596
die Innenstadt,Innenstadt,2592
der Sprecher,Sprecher,2591
fertig,fertig,2587
dunkel,dunkel,2573
ausländisch,ausländisch,2560
daneben,daneben,2538
lehnen,lehnen,2534
dokumentieren,dokumentieren,2533
arm,arm,2532
glücklich,glücklich,2528
gegenseitig,gegenseitig,2526
fremd,fremd,2517
gerecht,gerecht,2514
die Tour,Tour,2495
die Schuld,Schuld,2493
die Insel,Insel,2493
das Erlebnis,Erlebnis,2489
das Formular,Formular,2488
der Chef,Chef,2477
selbstständig,selbstständig,2477
verpassen,verpassen,2468
der Zug,Zug,2457
die Auszeichnung,Auszeichnung,2455
üben,üben,2454
der Geburtstag,Geburtstag,2451
singen,singen,2451
der Sitz,Sitz,2450
der Club,Club,2444
drücken,drücken,2443
bequem,bequem,2440
die Gebühr,Gebühr,2438
der Osten,Osten,2438
der Abstand,Abstand,2435
merken,merken,2434
der Fußball,Fußball,2426
vergleichen,vergleichen,2422
der Frieden,Frieden,2418
scharf,scharf,2416
der Rest,Rest,2415
verurteilen,verurteilen,2414
die Ursache,Ursache,2412
die Landschaft,Landschaft,2404
überrascht,überraschen,2399
der Ball,Ball,2396
krank,krank,2394
der Anlass,Anlass,2390
freundlich,freundlich,2386
der Gast,Gast,2384
katholisch,katholisch,2374
das Ticket,Ticket,2361
überlegen,überlegen,2360
die Figur,Figur,2353
der Tisch,Tisch,2344
heben,heben,2343
der Brief,Brief,2339
die Spitze,Spitze,2328
trainieren,trainieren,2319
das Telefon,Telefon,2318
die Einnahmen,Einnahme,2318
die Halle,Halle,2311
die Ausstattung,Ausstattung,2311
die Lust,Lust,2305
das Meer,Meer,2301
die Anzeige,Anzeige,2295
der Norden,Norden,2294
stoppen,stoppen,2287
das Bett,Bett,2281
Polen,Polen,2281
anerkennen,anerkennen,2257
der Süden,Süden,2252
das Festival,Festival,2251
der Westen,Westen,2250
fehlend,fehlend,2245
ablehnen,ablehnen,2242
